MeasurementVar,MeasurementLabel,MeasurementLevel,MeasurementType
patt7,Taking everything into account I have confidence in the police in this area,Person,Perception
pcfc_i,All personal crime including fraud,Person,Incidence rate
pcfc_p,All personal crime including fraud,Person,Prevalence rate
ratpol3,Police in the local area are doing a good or excellent job,Person,Perception
robber_i,Robbery,Person,Incidence rate
robber_p,Robbery,Person,Prevalence rate
rubb1,Perceived problem with litter or rubbish in the local area,Person,Perception
snatch_i,Snatch theft,Person,Incidence rate
snatch_p,Snatch theft,Person,Prevalence rate
snstla_i,Attempted snatch and stealth theft,Person,Incidence rate
snstla_p,Attempted snatch and stealth theft,Person,Prevalence rate
stlhea_i,Stealth theft,Person,Incidence rate
stlhea_p,Stealth theft,Person,Prevalence rate
strang_i,Stranger violence,Person,Incidence rate
strang_p,Stranger violence,Person,Prevalence rate
teen1,Perceived problem with teenagers hanging around in the local area,Person,Perception
theftf_i,Theft from a motor vehicle,Household,Incidence rate
theftf_p,Theft from a motor vehicle,Household,Prevalence rate
thefto_i,Theft of a motor vehicle,Household,Incidence rate
thefto_p,Theft of a motor vehicle,Household,Prevalence rate
theftp_i,Theft from the person,Person,Incidence rate
theftp_p,Theft from the person,Person,Prevalence rate
thftdm_i,Theft from a dwelling and meter,Household,Incidence rate
thftdm_p,Theft from a dwelling and meter,Household,Prevalence rate
thfthh_i,All household theft,Household,Incidence rate
thfthh_p,All household theft,Household,Prevalence rate
thftod_i,Theft from outside dwelling,Household,Incidence rate
thftod_p,Theft from outside dwelling,Household,Prevalence rate
thftpl_i,All personal theft,Person,Incidence rate
thftpl_p,All personal theft,Person,Prevalence rate
tocrfc_p,Total CSEW crime including fraud,Person,Prevalence rate
totalb_p,Total CSEW crime,Person,Prevalence rate
totalh_i,All household crime,Household,Incidence rate
totalh_p,All household crime,Household,Prevalence rate
totper_i,All personal crime,Person,Incidence rate
totper_p,All personal crime,Person,Prevalence rate
vandal_i,Criminal damage  ,Household,Incidence rate
vandal_p,Criminal damage  ,Household,Prevalence rate
vandals1,Perceived problem with vandalism and graffiti in the local area,Person,Perception
vininr_i,Violence without injury,Person,Incidence rate
vininr_p,Violence without injury,Person,Prevalence rate
violnr_i,All violence,Person,Incidence rate
violnr_p,All violence,Person,Prevalence rate
virs_i,Computer virus,Person,Incidence rate
virs_p,Computer virus,Person,Prevalence rate
viwinr_i,Violence with injury,Person,Incidence rate
viwinr_p,Violence with injury,Person,Prevalence rate
wound_i,Wounding,Person,Incidence rate
wound_p,Wounding,Person,Prevalence rate
